Token,Frequency
nintendo,460
game,430
console,378
japan,325
games,307
2,294
video,293
com,258
tested,253
controller,248
box,244
new,219
system,198
1,190
original,173
set,164
001,163
r,159
used,158
switch,142
de,139
w,138
3,137
black,133
controllers,131
japanese,130
super,129
edition,126
handheld,125
white,124
ds,121
famicom,121
video game,120
youtube,117
nintendo ds,115
working,115
nintendo switch,115
video games,114
con,111
blue,111
color,108
consoles,107
case,106
game console,102
retro,97
x,96
mario,95
charger,94
online,86
lite,84
classic,84
4,82
oem,79
bundle,78
nes,78
gaming,76
red,75
lot,75
wireless,75
para,72
joy,72
5,71
en,70
boy,68
nintendo game,68
gameboy,67
game boy,67
ds lite,66
mini,66
limited,65
vintage,64
joy con,63
ntsc,62
snes,61
playstation,61
silver,58
nintendo gameboy,58
pad,57
super famicom,57
uk,56
picclick,56
rare,54
parts,54
home,54
famicom console,54
sfc,53
nintendo super,52
stylus,51
cover,50
8,50
gamepad,50
oled,50
j,49
jp,49
boxed,49
facebook,49
gray,48
sony,48
replacement,48
computer,48
import,47
control,47
pc,47
dsi,46
model,46
nintendo famicom,46
handheld system,45
buy,45
shell,45
wii,45
genuine,45
family,45
super nintendo,45
mercadolibre,44
usb,44
region,44
authentic,43
advance,43
ntsc j,42
compatible,42
tiktok,42
las,41
works,41
tested working,41
family computer,41
wired,41
pink,40
accessories,40
famicom controller,40
joystick,40
switch oled,40
メルカリ,39
sony playstation,39
yahoo,38
mejores,38
3ds,38
xbox,38
pokemon,37
version,37
screen,37
6,37
gba,36
nds,36
ofertas,36
manual,36
pro,36
fc,36
neon,36
nintendo dsi,35
consola,35
juegos,35
ps2,35
videojuegos,34
las mejores,34
mejores ofertas,34
ofertas en,34
ps3,34
gamecube,34
switch joy,34
lite console,33
junk,33
10,33
clear,33
wireless controller,33
la,32
cable,32
super mario,32
complete,32
classic mini,32
nintendo gamecube,32
boy advance,31
nintendo classic,31
hvc,31
nintendo snes,31
por,30
software,30
sfc snes,30
ps1,30
eur,29
one,29
joycon,29
