id,db_id,item
1,00GeemSSwZjPuDwsNaIW,GC Con Loose Stick
2,087lkATTCpKIRfuZXSyO,Xbox 360 Power Cord
3,0GvXSuXwC92q3kXRBvyH,GC Mic
4,0UHdamzjYh3f6ZaVdHUz,GC Mem 59
5,0mxTnXnArFOs8JxxMNmy,DDR Pad (boxed)
6,1Naw8n1OaREesfNU2WQJ,PS2 Mem Card [FUJIWORK]
7,1uBNzDNpTbm27EyCSPse,Dragon Quest V (PS2)
8,27fXVeIzXxxVntEVDa1G,SFC AC Adapter
9,29I5eCZFVcAW6xYdVAoH,Inazuma Eleven Strikers 2013 (Wii)
10,2PnU9mELDvB44P40zpmZ,DRM ASCII Stick FT
11,2ib0YdgBr6F2ZNKARP5p,Wario World (GC)
12,38NvyBCPiHRc1gunZpbx,Hori FS SS
13,3ASctRAhZQKR1qcyGtvQ,Gameboy Printer
14,3MKcawL108JI7sV03FwR,Pokémon Gold
15,3ZQ8aYagBMX0rkJL2m63,FC 2P Con
16,3lUqLwE4sNwMFPNCvVb8,GC Power Cord
17,3q8Qn0PapaacnX1DcknO,DRM V0/2
18,3v2V01ll83X9TpoptKee,Wii
19,40IldAR262Z0lY8jju1e,DRM Gun Con
20,4NvB321Orceb07xUxICD,Wii U Zelda
21,52CUM8wHtys9ZaXza2jH,Royds Stick
22,5Esn9GfoSTE1hrh9K6NE,SFC Con
23,5L03NEIwDUC6hF5ZDS7x,Pokémon Green
24,60QzDajbkQRYVGg9Jgup,Saturn Con
25,61YaiPCF0A3TI0SGyCXF,NFC Reader
26,63xI1waMZFyGHIxPKwpb,Pokémon Silver
27,661vCTO6E1TjeJnEcxGb,GC [DOL-001]
28,6GxyJr5S5ZTbgIcPdgLr,N64 Con Pak
29,6VCYaXusX8YpDFYM5XLd,Madonna Sex Magazine
30,6ZPurHVarOQmMzlt89ES,DDR Pad
31,6v3aTU5GqVcof2OSrrGt,Hori FS-3
32,6zEknYROM4kKDePlBrCF,Hori GC Con
33,7Ci0Pk1zOYPPexm3YJ8g,Wii Base Plate
34,7htk09RSOvqVgxTRhD0k,Dyson Supersonic Hair Dryer
35,8AodhRCGTqWyTZICKW5P,N64 Mic
36,8ES4hm3YJs9hiZ7Xy77y,PS1 Dual Shock Con SCPH-1200
37,8zDMF4CCUEmyUqsRJ52j,N64
38,8zVIO6APRCqwpomb2Uma,PS Vita
39,9BFdEKX2JzO7D54fwMNi,Saturn Karaoke
