id,item
1,Nintendo DS Original Console
2,Nintendo DS Lite Console
3,Nintendo DSi Console
4,Nintendo 2DS Console
5,Nintendo 3DS Console
6,Nintendo Famicom Console
7,Nintendo SNES Console
8,Nintendo Game Boy Micro Console
9,Nintendo Game Boy Advance Console
10,Nintendo Game Boy Advance SP Console
11,Nintendo Game Boy Color Console
12,Nintendo Game Boy Console
13,Nintendo Switch Console
14,Nintendo Switch Lite Console
15,Nintendo Switch OLED Console
16,N64 Controller
17,Gamecube Controller
18,XBOX Controller
19,Playstation Controller
20,Nintendo Switch Pro Controller
21,Nintendo Joy-Con
22,Console
23,Controller
24,Box
25,Handheld Console
26,PlayStation DualShock Controller
27,PlayStation DualShock 2 Controller
28,PlayStation Sixaxis Controller
29,PlayStation DualShock 3 Controller
30,PlayStation DualShock 4 Controller
31,PlayStation DualSense Controller
32,PlayStation DualSense Edge Controller
33,Xbox Duke Controller
34,Xbox Controller S
35,Xbox 360 Controller
36,Xbox Wireless Controller
37,Xbox Elite Controller
38,PlayStation 2 Console
39,PlayStation 3 Console
40,PlayStation 4 Console
41,PlayStation 5 Console
42,PlayStation Portable (PSP) Console
43,PlayStation Vita Console
44,Xbox Console
45,Xbox 360 Console
46,Xbox One Console
47,Xbox Series X Console
48,Xbox Series S Console
49,Sega Dreamcast Console
50,Sega Saturn Console
51,Sega Genesis Console
52,Sega Mega Drive Console
53,Nintendo 64 Console
54,Nintendo GameCube Console
55,Nintendo Wii Console
56,Nintendo Wii U Console
57,Gamepad
58,Charger
59,Case
60,Stylus
61,Touch Pen
62,Memory Card
63,New Condition
64,Used Condition
65,Damaged Condition
66,Mint Condition
67,Sealed
68,Unopened
69,Brand New
70,Pre-owned
71,Second Hand
72,Tested Working
73,For Parts
74,For Repair
75,Junk
76,Untested
77,Broken
78,Japanese Region
79,US Region
80,European Region
81,NTSC-J
82,NTSC
83,PAL
84,Limited Edition
85,Special Edition
86,Crystal Edition
87,Launch Edition
88,Complete in Box (CIB)
89,Auction
90,Marketplace
91,White Color
92,Black Color
93,Silver Color
94,Blue Color
95,Red Color
96,Pink Color
97,Crystal White Color
98,Ice Blue Color
99,Midnight Black Color
100,Crimson Red Color
101,ホワイト
102,ブラック
103,シルバー
104,ブルー
105,レッド
106,ピンク
107,本体
108,携帯
109,コントローラー
110,ゲームパッド
111,任天堂
112,プレイステーション
113,デュアルショック
114,オークション
115,メルカリ
116,動作確認済み
117,NTR-001
118,USG-001
119,TWL-001
120,CTR-001
121,HEG-001
122,DMG-01
123,CGB-001
124,AGB-001
125,AGS-001
126,HVC-001
127,SHVC-001
128,SCPH-1200
129,SCPH-55000
